□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(전월세),,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,
시군구 : 청주시 청원구,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,
NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
13,충청북도 청주시 청원구 율량동,2***,8m미만,43.03,월세,202510,31,500,55,2014,율봉로262번길,202511~202611,신규,-,,,단독다가구
14,충청북도 청주시 청원구 율량동,2***,12m미만,25.76,월세,202510,31,500,58,2020,율중로16번길,202511~202610,신규,-,,,단독다가구
15,충청북도 청주시 청원구 오창읍 구룡리,3**,25m이상,45,전세,202510,31,"5,000",0,2012,구룡택지로,202511~202611,갱신,-,"5,000",0,단독다가구
16,충청북도 청주시 청원구 오창읍 구룡리,4**,12m미만,35,월세,202510,31,200,51,2006,구룡2길,202511~202603,신규,-,,,단독다가구
17,충청북도 청주시 청원구 율량동,1***,12m미만,25,월세,202510,30,200,35,2008,율봉로212번길,202510~202610,신규,-,,,단독다가구
18,충청북도 청주시 청원구 율량동,8**,8m미만,25,월세,202510,30,300,38,2012,율봉로181번길,202510~202610,신규,-,,,단독다가구
19,충청북도 청주시 청원구 오창읍 구룡리,4**,12m미만,63.32,전세,202510,30,"10,000",0,2009,구룡택지안길,202511~202711,신규,-,,,단독다가구
20,충청북도 청주시 청원구 오창읍 주성리,3**,12m미만,28,월세,202510,30,300,45,,주성3길,202510~202610,신규,-,,,단독다가구
21,충청북도 청주시 청원구 율량동,2***,12m미만,55,월세,202510,29,"1,000",70,2014,율량로201번길,202511~202611,신규,-,,,단독다가구
22,충청북도 청주시 청원구 오창읍 양청리,6**,12m미만,45,월세,202510,29,500,57,2010,양청6길,202511~202611,신규,-,,,단독다가구
23,충청북도 청주시 청원구 오창읍 양청리,7**,12m미만,23.14,전세,202510,29,"3,500",0,2004,양청길,202512~202712,신규,-,,,단독다가구
24,충청북도 청주시 청원구 오창읍 양청리,7**,12m미만,50,월세,202510,29,500,48,2012,양청택지로,202511~202611,신규,-,,,단독다가구
25,충청북도 청주시 청원구 율량동,2***,8m미만,49.5,월세,202510,29,"1,000",65,2017,율중로,202510~202610,신규,-,,,단독다가구
26,충청북도 청주시 청원구 우암동,1**,12m미만,32.7,월세,202510,28,"1,000",80,2025,대성로261번길,202511~202610,신규,-,,,단독다가구
27,충청북도 청주시 청원구 오창읍 구룡리,3**,12m미만,56,월세,202510,28,500,50,2012,구룡2길,202510~202610,신규,-,,,단독다가구
28,충청북도 청주시 청원구 오창읍 주성리,3**,12m미만,30,월세,202510,28,300,42,2014,주성3길,202511~202610,신규,-,,,단독다가구
29,충청북도 청주시 청원구 오창읍 양청리,7**,25m미만,37,월세,202510,28,400,44,2013,양청택지1길,202511~202610,신규,-,,,단독다가구
30,충청북도 청주시 청원구 오창읍 양청리,7**,12m미만,74.21,전세,202510,28,"11,000",0,,양청택지1길,202511~202711,신규,-,,,단독다가구
31,충청북도 청주시 청원구 오창읍 양청리,7**,25m미만,35,월세,202510,28,300,41,,양청택지4길,202510~202610,신규,-,,,단독다가구
32,충청북도 청주시 청원구 우암동,5*,12m미만,27,전세,202510,28,"5,000",0,2014,수암로,-,-,-,,,단독다가구
33,충청북도 청주시 청원구 오창읍 양청리,7**,12m미만,25,월세,202510,27,300,31,2004,양청길,202510~202610,신규,-,,,단독다가구
34,충청북도 청주시 청원구 오창읍 양청리,7**,12m미만,30,월세,202510,27,200,38,2010,양청택지로,202510~202610,신규,-,,,단독다가구
35,충청북도 청주시 청원구 율량동,9**,8m미만,33,월세,202510,27,300,35,2011,율봉로176번길,202511~202610,신규,-,,,단독다가구
36,충청북도 청주시 청원구 율량동,1***,8m미만,28.22,월세,202510,27,500,50,2015,충청대로115번길,202510~202610,신규,-,,,단독다가구
37,충청북도 청주시 청원구 율량동,1***,8m미만,50,월세,202510,27,500,35,2011,율천북로119번길,202510~203010,신규,-,,,단독다가구
38,충청북도 청주시 청원구 율량동,2***,12m미만,53.5,월세,202510,27,500,75,2015,율량로201번길,202510~202710,신규,-,,,단독다가구
39,충청북도 청주시 청원구 주중동,9**,25m미만,39.21,월세,202510,26,500,40,2014,율량로10번길,202510~202610,신규,-,,,단독다가구
40,충청북도 청주시 청원구 율량동,1***,8m미만,24.28,월세,202510,26,"1,000",36,2020,율봉로222번길,202511~202610,신규,-,,,단독다가구
41,충청북도 청주시 청원구 주성동,4**,8m미만,45,월세,202510,26,"1,000",60,2013,율량로138번길,202511~202711,신규,-,,,단독다가구
42,충청북도 청주시 청원구 오창읍 구룡리,4**,12m미만,45,월세,202510,26,300,41,2010,구룡2길,202510~202610,신규,-,,,단독다가구
